# string sports;categorie;url image
Planche à Voile;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Planeur ULM / Multiaxe / Pendulaire / Paramoteur / Motorisations auxiliaires / Autogire;Sport aérien;https://static.girouette.fr/1076-tm_thickbox_default/ulm-pendulaire.jpg
Plongeon;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Plongée d'exploration / Photographie subaquatique;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Plongée en apnée;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Plongée subaquatique (Plongée libre);Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Polo;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Polo-vélo;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Précision à l'atterrissage;Sport aérien;https://static.girouette.fr/1076-tm_thickbox_default/ulm-pendulaire.jpg
Pétanque et jeu provencal;Sport de boule;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Boules_sports_pictogram.svg/1200px-Boules_sports_pictogram.svg.png
Quad;Sport de automobile;https://static.thenounproject.com/png/225517-200.png
Racquetball;Sport de raquette;https://cdn.pixabay.com/photo/2012/04/24/18/18/tennis-40795_960_720.png
Raft (embarcation gonflable);Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Raid équestre d'endurance;Equitation;https://www.icone-png.com/png/52/51604.png
Randonnée pédestre;Randonnée;https://library.kissclipart.com/20180831/xpq/kissclipart-trekking-animation-clipart-backpacking-hiking-geoc-eb166473b9826f18.jpg
Randonnée équestre;Equitation;https://www.icone-png.com/png/52/51604.png
Raquette à neige;Randonnée;https://library.kissclipart.com/20180831/xpq/kissclipart-trekking-animation-clipart-backpacking-hiking-geoc-eb166473b9826f18.jpg
Rodéo/Freestyle;Equitation;https://www.icone-png.com/png/52/51604.png
Roller acrobatique;Roller;https://img2.freepng.fr/20180509/sjq/kisspng-roller-skating-ice-skating-computer-icons-ice-skat-5af37b9054e929.8654018315259063203478.jpg
Rugby à 13 / Rugby à 7;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Rugby à 15 / Rugby à 7;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Sambo;Sport de combat;https://www.icone-png.com/png/52/51631.png
Saut;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Saut à l'élastique;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Saut d'obstacle;Equitation;https://www.icone-png.com/png/52/51604.png
Sauvetage côtier/Surfboat;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Sauvetage en eau plate;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Savate défense;Sport de combat;https://www.icone-png.com/png/52/51631.png
Ski alpin (de piste);Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski alpinisme;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski artistique;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski artistique bosses;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski artistique sauts;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski nautique classique / Course / à figures libres / nupieds / Kneeboard / Wake-board;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski nordique (de fond);Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski nordique-biathlon;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski nordique-saut;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Ski pulka;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Slalom;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Softball;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Sport automobile;Sport mécanique;https://www.onlygfx.com/wp-content/uploads/2018/03/motocross-silhouette-1-1024x982.png
Sport scolaire;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Sports boules;Sport de boule;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Boules_sports_pictogram.svg/1200px-Boules_sports_pictogram.svg.png
Sports de quilles;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Spéléologie;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Squash;Sport de raquette;https://cdn.pixabay.com/photo/2012/04/24/18/18/tennis-40795_960_720.png
Sumo;Sport de combat;https://www.icone-png.com/png/52/51631.png
Surf;Sport d'eau;https://static.thenounproject.com/png/68541-200.png
Surf des neiges (snowboard);Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Swing;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Taekwondo / Hapkido / Tang-soo-do / Soo bahk do / Sin moo hapkido / Hapkido jin jung kwan;Sport de combat;https://www.icone-png.com/png/52/51631.png
Tai chi chuan / Chi gong;Sport de combat;https://www.icone-png.com/png/52/51631.png
Tennis;Sport de raquette;https://cdn.pixabay.com/photo/2012/04/24/18/18/tennis-40795_960_720.png
Tennis de table;Sport de raquette;https://cdn.pixabay.com/photo/2012/04/24/18/18/tennis-40795_960_720.png
Tir à l'arc;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Tir aux armes réglementaires;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Tir sur cible subaquatique;Tir;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Shooting_pictogram.svg/1200px-Shooting_pictogram.svg.png
Traineau à chiens;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
Trampoline / Double mini-tramp;Gymnastique;https://img2.freepng.fr/20181124/ttl/kisspng-artistic-gymnastics-image-silhouette-handspring-5bf9180ada1157.2847951215430512748932.jpg
Trial;Athlétisme;https://svgsilh.com/png-1024/309595.png
Triathlon;Athlétisme;https://svgsilh.com/png-1024/309595.png
Tumbling;Gymnastique;https://img2.freepng.fr/20181124/ttl/kisspng-artistic-gymnastics-image-silhouette-handspring-5bf9180ada1157.2847951215430512748932.jpg
Twirling bâton;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Téléski nautique;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
UNSS;Autres;https://img2.freepng.fr/20180421/qpq/kisspng-women-s-sports-larraul-silhouette-volleyball-cheering-crowd-silhouette-5adb1a405176c6.2960229015243085443337.jpg
Voile radio commandée;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Voilier des sables;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Vol à voile;Sport nautique;https://pngimg.com/uploads/canoe/canoe_PNG102.png
Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Voltige en planeur;Sport extrême;https://vamus.com.br/wp-content/themes/rsmjr/assets/app/icon-asadelta.png
Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial;Cyclisme;https://cdn.pixabay.com/photo/2012/04/24/18/13/bicycle-40756_960_720.png
Water-Polo;Sport collectif;https://img2.freepng.fr/20180316/khq/kisspng-sport-ball-game-american-football-clip-art-sport-ball-cliparts-5aab6038747dd7.5009331515211807284772.jpg
Wave-ski;Sport de glisse - montagne;https://cdn.pixabay.com/photo/2014/04/03/00/27/mountain-308357_960_720.png
